,tweet,tweet_clean,tweet_clean_advanced
4941,USER USER USER USER USER USER USER USER USER USER USER USER USER USER cebong produsen hoax...tukang bohong dan ingkar janji',cebong produsen hoaks tukang bohong ingkar janji,cebong produsen hoaks tukang bohong ingkar janji
2090,USER Jan kenceng2 ketawanya kaya kunti aja',kencang ketawanya kayak kunti,kencang ketawanya kayak kunti
11930,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER NGOMONG,berbicara,berbicara
8641,"Kelompok mana yg berhasil mengkapitalisasi Gatot, gua duga mrk-lah yg ketiban momenum. Entah bowo, kelompok cikeas atau jokowi.",kelompok berhasil mengkapitalisasi gatot duga ketiban momentum bowo kelompok cikeas jokowi,kelompok berhasil mengkapitalisasi gatot duga ketiban momentum bowo kelompok cikeas jokowi
6307,RT USER: woy tai kok gaada yang mau join \n\ntag closed agency basic',oi tai join tag closed agency basic,oi tai join tag closed agency basic
5846,Dia tahu mampus aku \xf0\x9f\x98\xad',mampus,mampus
2028,USER USER Baru akan\n...\nBelum.....\nKalopun jadu itu dibantu 4 bank asing..\nJadi ???',dibantu bank asing,dibantu bank asing
5690,USER bhahahahahahaa geblek ini. punya duit tapi giting salah beli produk keknya.',haha geblek duit ginting salah beli produk,haha geblek duit ginting salah beli produk
4387,"USER \xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\x80\x9dOh\xe3\x83\xbc!\xe2\x80\x9d Melirik ke kirinya. Dia melihat sosok yang tak asing baginya itu. Tetapi, dia kebingungan dalam mengingat sosok itu. \n\xe2\xa0\x80\xe2\xa0\x80\xe2\xa0\x80\xe2\x80\x9",xe xa x xe xa x xe xa x xe x x doh xe x xbc xe x x melirik kirinya sosok asing baginya kebingungan sosok xe xa x xe xa x xe xa x xe x x,xe xa x xe xa x xe xa x xe x x doh xe x xbc xe x x melirik kirinya sosok asing baginya kebingungan sosok xe xa x xe xa x xe xa x xe x x
9215,kristen sdh di tapir2in diharam-haramin !!,kristen tapir in diharam haramkan,kristen tapir in diharam haramkan
7113,"Saat ada tagar #2019GantiPresiden semua lantang menentang tapi ketika sang presiden dikatakan kacung terdiam semua....ada apa?justru yg membela presiden mereka yg meneriakkan #2019GantiPresiden ..apa yg kmrin2 berteriak itu membenarkan ucapan anak itu,?",tagar lantang menentang sang presiden kacung terdiam membela presiden meneriakkan kemarin beeriak membenarkan ucapan anak,tagar lantang menentang sang presiden kacung terdiam membela presiden meneriakkan kemarin beeriak membenarkan ucapan anak
6600,"Provinsi Gorontalo dengan visi dan misi Gubernur menjadikan sektor perikanan dan kelautan sebagai salah satu program prioritas dalam peningkatan ekonomi kerakyatan, dimana pembangunan sektor perikanan dan kelautan diharapkan",provinsi gorontalo visi misi gubernur menjadikan sektor perikanan kelautan salah program prioritas peningkatan ekonomi kerakyatan dimana pembangunan sektor perikanan kelautan diharapkan,provinsi gorontalo visi misi gubernur menjadikan sektor perikanan kelautan salah program prioritas peningkatan ekonomi kerakyatan dimana pembangunan sektor perikanan kelautan diharapkan
3071,USER Dih najis bulepotan',ih najis belepotan,ih najis berlepotan
2418,"Wah, kasihan relawan komisaris bisa minder ketemu Boss orang bule. Brekekekekekek",kasihan relawan komisaris minder ketemu bos orang bule,kasihan relawan komisaris minder ketemu bos orang bule
5640,beneran sinting itu orang huf',benaran sinting orang duh,benaran sinting orang aduh
516,Kebingungan akan apa yang bisa ditoleransi dan enggak bikin Gw mikir itulah alasan kenapa dalam Katolik ada Paus sebagai Wakil Kristus',kebingungan ditoleransi bikin pikir alasan katolik paus wakil kristus,kebingungan ditoleransi bikin pikir alasan katolik paus wakil kristus
12326,"Anggota DPR dan DPD yang terhormat, apakah posting YM termasuk PENIPUAN? Quran 4:91 Bunuhlah 8:12 Penggallah",anggota dewan perwakilan rakyat dewan perwakilan daerah terhormat posting yusuf mansyur penipuan alquran bunuhlah penggalah,anggota dewan perwakilan rakyat dewan perwakilan daerah terhormat posting yusuf mansyur penipuan alquran bunuhlah penggalah
11080,"Hai guys. Gakerasa ya 70 Hari Lagi Penentuan Masa Depan Majalengka 5 Tahun kedepan, ; ð??« gkmau lg Pajak Mahal? ; ð??« gkmau lg susah Cari Kerjaan? ; ð??« gkmau lg berobat susah? ; ð??« gkmau lg biaya pendidikan mahal? ; ð??« gkmau lg jalan banyak rusak? ; ð??« gkmau lg E",hai guys kerasa penentuan majalengka pajak mahal susah cari pekerjaan berobat susah biaya pendidikan mahal jalan rusak e,hai guys kerasa penentuan majalengka pajak mahal susah cari pekerjaan berobat susah biaya pendidikan mahal jalan rusak e
12010,RT USER USER USER USER Dah pikun dia prokorupt,pikun pro koruptor,pikun pro koruptor
6767,"RT USER: bocah SMP jaman now,, colmek sampe becek \n\n#bahancoli #memek #colmek #colokmemek #jembut #memekbecek URL",bocah jaman now colok memek becek,bocah jaman now colok memek becek
